city,temp_side,trades,wins,losses,hit_rate_pct,avg_model_win_prob_pct,avg_market_prob_pct,total_stake_dollars,total_fees_dollars,expected_profit_net_dollars,realized_pnl_dollars,roi_pct_on_stake
Las Vegas,high,1,1,0,100.0,66.02,43.0,3.01,0.13,1.38,3.86,128.24
Denver,high,1,1,0,100.0,90.0,58.0,3.48,0.11,1.72,2.41,69.25
San Antonio,high,2,2,0,100.0,90.0,67.5,5.45,0.16,2.36,3.39,62.2
San Francisco,high,2,2,0,100.0,88.33,59.5,3.7,0.11,1.44,2.19,59.19
Washington DC,high,1,1,0,100.0,90.0,63.0,2.52,0.07,0.9,1.41,55.95
Philadelphia,high,2,2,0,100.0,90.0,67.0,4.0,0.11,1.21,1.89,47.25
Houston,high,1,1,0,100.0,90.0,67.0,2.68,0.07,0.8,1.25,46.64
Phoenix,high,1,1,0,100.0,90.0,70.0,2.8,0.06,0.69,1.14,40.71
New York City,high,1,1,0,100.0,90.0,74.0,2.96,0.06,0.53,0.98,33.11
Los Angeles,high,2,1,1,50.0,90.0,64.5,5.06,0.14,1.89,0.8,15.81
New Orleans,high,2,1,1,50.0,81.68,61.5,3.04,0.1,0.8,-0.14,-4.61
Dallas,high,2,1,1,50.0,90.0,64.5,4.54,0.12,1.54,-0.66,-14.54
Atlanta,high,2,1,1,50.0,83.72,59.5,2.84,0.11,2.45,-1.95,-68.66
Boston,high,1,0,1,0.0,90.0,77.0,3.08,0.05,0.42,-3.13,-101.62
Chicago,high,1,0,1,0.0,90.0,80.0,1.6,0.03,0.15,-1.63,-101.88
Austin,high,1,1,0,100.0,71.04,38.5,3.08,0.08,-0.34,-3.16,-102.6
Oklahoma City,high,1,0,1,0.0,90.0,62.0,1.86,0.05,0.75,-1.91,-102.69
Miami,high,1,0,1,0.0,70.86,51.0,2.04,0.07,0.67,-2.11,-103.43
Minneapolis,high,1,0,1,0.0,69.86,29.0,2.32,0.12,2.96,-2.44,-105.17
Philadelphia,low,1,1,0,100.0,84.79,22.8,2.28,0.13,6.0,7.59,332.89
New York City,low,3,2,1,66.67,86.01,32.0,8.7,0.42,14.13,8.88,102.07
Miami,low,1,0,1,0.0,88.4,48.38,3.87,0.14,2.97,-4.01,-103.62
Chicago,low,1,0,1,0.0,90.0,24.0,2.4,0.13,6.11,-2.53,-105.42
Austin,low,1,0,1,0.0,90.0,22.0,2.2,0.13,6.28,-2.33,-105.91
