ticker,city,temp_side,bet,line,trades,wins,losses,hit_rate_pct,stake_dollars,fees_dollars,realized_pnl_dollars,roi_pct_on_stake
KXLOWTMIA-26MAR08-T72,Miami,low,BUY NO,73F or above,1,0,1,0.0,3.87,0.14,-4.01,-103.62
KXHIGHAUS-26MAR08-B69.5,Austin,high,BUY NO,69F to 70F,1,1,0,100.0,3.08,0.08,-3.16,-102.6
KXHIGHTBOS-26MAR08-B58.5,Boston,high,BUY NO,58F to 59F,1,0,1,0.0,3.08,0.05,-3.13,-101.62
KXLOWTCHI-26MAR08-B34.5,Chicago,low,BUY NO,34F to 35F,1,0,1,0.0,2.4,0.13,-2.53,-105.42
KXHIGHTMIN-26MAR08-T61,Minneapolis,high,BUY NO,60F or below,1,0,1,0.0,2.32,0.12,-2.44,-105.17
KXLOWTAUS-26MAR08-B53.5,Austin,low,BUY NO,53F to 54F,1,0,1,0.0,2.2,0.13,-2.33,-105.91
KXLOWTNYC-26MAR08-B49.5,New York City,low,BUY NO,49F to 50F,1,0,1,0.0,2.2,0.13,-2.33,-105.91
KXHIGHMIA-26MAR08-B84.5,Miami,high,BUY NO,84F to 85F,1,0,1,0.0,2.04,0.07,-2.11,-103.43
KXHIGHTATL-26MAR08-B69.5,Atlanta,high,BUY NO,69F to 70F,1,0,1,0.0,1.98,0.1,-2.08,-105.05
KXHIGHTOKC-26MAR08-B74.5,Oklahoma City,high,BUY NO,74F to 75F,1,0,1,0.0,1.86,0.05,-1.91,-102.69
KXHIGHTDAL-26MAR08-B74.5,Dallas,high,BUY NO,74F to 75F,1,0,1,0.0,1.86,0.05,-1.91,-102.69
KXHIGHCHI-26MAR08-B63.5,Chicago,high,BUY NO,63F to 64F,1,0,1,0.0,1.6,0.03,-1.63,-101.88
KXHIGHLAX-26MAR08-B88.5,Los Angeles,high,BUY NO,88F to 89F,1,0,1,0.0,1.34,0.04,-1.38,-102.99
KXHIGHTNOLA-26MAR08-B76.5,New Orleans,high,BUY NO,76F to 77F,1,0,1,0.0,1.3,0.04,-1.34,-103.08
KXHIGHTATL-26MAR08-B73.5,Atlanta,high,BUY NO,73F to 74F,1,1,0,100.0,0.86,0.01,0.13,15.12
KXHIGHTSATX-26MAR08-B70.5,San Antonio,high,BUY NO,70F to 71F,1,1,0,100.0,1.6,0.03,0.37,23.12
KXHIGHPHIL-26MAR08-B71.5,Philadelphia,high,BUY NO,71F to 72F,1,1,0,100.0,1.36,0.04,0.6,44.12
KXHIGHTSFO-26MAR08-B68.5,San Francisco,high,BUY NO,68F to 69F,1,1,0,100.0,1.06,0.04,0.9,84.91
KXHIGHNY-26MAR08-B66.5,New York City,high,BUY NO,66F to 67F,1,1,0,100.0,2.96,0.06,0.98,33.11
KXHIGHTPHX-26MAR08-B90.5,Phoenix,high,BUY NO,90F to 91F,1,1,0,100.0,2.8,0.06,1.14,40.71
KXHIGHTNOLA-26MAR08-B80.5,New Orleans,high,BUY NO,80F to 81F,1,1,0,100.0,1.74,0.06,1.2,68.97
KXHIGHTDAL-26MAR08-B72.5,Dallas,high,BUY NO,72F to 73F,1,1,0,100.0,2.68,0.07,1.25,46.64
KXHIGHTHOU-26MAR08-B75.5,Houston,high,BUY NO,75F to 76F,1,1,0,100.0,2.68,0.07,1.25,46.64
KXHIGHPHIL-26MAR08-B69.5,Philadelphia,high,BUY NO,69F to 70F,1,1,0,100.0,2.64,0.07,1.29,48.86
KXHIGHTSFO-26MAR08-B72.5,San Francisco,high,BUY NO,72F to 73F,1,1,0,100.0,2.64,0.07,1.29,48.86
KXHIGHTDC-26MAR08-B74.5,Washington DC,high,BUY NO,74F to 75F,1,1,0,100.0,2.52,0.07,1.41,55.95
KXHIGHLAX-26MAR08-B86.5,Los Angeles,high,BUY NO,86F to 87F,1,1,0,100.0,3.72,0.1,2.18,58.6
KXHIGHDEN-26MAR08-T65,Denver,high,BUY NO,66F or above,1,1,0,100.0,3.48,0.11,2.41,69.25
KXHIGHTSATX-26MAR08-B68.5,San Antonio,high,BUY NO,68F to 69F,1,1,0,100.0,3.85,0.13,3.02,78.44
KXHIGHTLV-26MAR08-B74.5,Las Vegas,high,BUY NO,74F to 75F,1,1,0,100.0,3.01,0.13,3.86,128.24
KXLOWTNYC-26MAR08-T45,New York City,low,BUY NO,44F or below,1,1,0,100.0,3.6,0.14,4.26,118.33
KXLOWTNYC-26MAR08-B51.5,New York City,low,BUY NO,51F to 52F,1,1,0,100.0,2.9,0.15,6.95,239.66
KXLOWTPHIL-26MAR08-T47,Philadelphia,low,BUY YES,46F or below,1,1,0,100.0,2.28,0.13,7.59,332.89
