date,sig,city,temp_type,ticker,bet,line,first_seen_est,last_seen_est,end_seen_est,duration_seconds,scan_count,max_edge_pct,last_edge_pct,close_reason
2026-03-07,2026-03-07|KXHIGHTPHX-26MAR07-B79.5|BUY NO,Phoenix,high,KXHIGHTPHX-26MAR07-B79.5,BUY NO,79F to 80F,2026-03-07 09:50:21 AM EST,2026-03-07 09:50:25 AM EST,2026-03-07 09:55:00 AM EST,4,2,20.78,20.78,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHLAX-26MAR07-B78.5|BUY NO,Los Angeles,high,KXHIGHLAX-26MAR07-B78.5,BUY NO,78F to 79F,2026-03-07 09:50:21 AM EST,2026-03-07 09:50:25 AM EST,2026-03-07 09:55:00 AM EST,4,2,17.79,17.79,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHNY-26MAR07-B50.5|BUY NO,New York City,high,KXHIGHNY-26MAR07-B50.5,BUY NO,50F to 51F,2026-03-07 09:50:21 AM EST,2026-03-07 09:57:42 AM EST,2026-03-07 10:00:00 AM EST,441,4,22.08,22.08,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTPHX-26MAR07-B79.5|BUY NO,Phoenix,high,KXHIGHTPHX-26MAR07-B79.5,BUY NO,79F to 80F,2026-03-07 09:57:42 AM EST,2026-03-07 10:00:00 AM EST,2026-03-07 10:05:11 AM EST,137,2,20.78,20.78,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHDEN-26MAR07-T48|BUY YES,Denver,high,KXHIGHDEN-26MAR07-T48,BUY YES,47F or below,2026-03-07 10:00:00 AM EST,2026-03-07 10:00:00 AM EST,2026-03-07 10:05:11 AM EST,0,1,7.56,7.56,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHMIA-26MAR07-B84.5|BUY NO,Miami,high,KXHIGHMIA-26MAR07-B84.5,BUY NO,84F to 85F,2026-03-07 10:00:00 AM EST,2026-03-07 10:05:11 AM EST,2026-03-07 10:11:53 AM EST,311,2,30.36,30.36,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHLAX-26MAR07-B78.5|BUY NO,Los Angeles,high,KXHIGHLAX-26MAR07-B78.5,BUY NO,78F to 79F,2026-03-07 09:57:42 AM EST,2026-03-07 10:11:53 AM EST,2026-03-07 10:15:00 AM EST,851,4,22.79,22.79,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTATL-26MAR07-B81.5|BUY NO,Atlanta,high,KXHIGHTATL-26MAR07-B81.5,BUY NO,81F to 82F,2026-03-07 10:05:11 AM EST,2026-03-07 10:11:53 AM EST,2026-03-07 10:15:00 AM EST,402,2,23.9,23.9,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHAUS-26MAR07-B78.5|BUY NO,Austin,high,KXHIGHAUS-26MAR07-B78.5,BUY NO,78F to 79F,2026-03-07 10:11:53 AM EST,2026-03-07 10:11:53 AM EST,2026-03-07 10:15:00 AM EST,0,1,22.53,22.53,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHDEN-26MAR07-T48|BUY YES,Denver,high,KXHIGHDEN-26MAR07-T48,BUY YES,47F or below,2026-03-07 10:11:53 AM EST,2026-03-07 10:15:00 AM EST,2026-03-07 10:23:28 AM EST,187,2,16.56,16.56,edge_dropped_or_filtered
