date,city,temp_side,station,outcome_f,source,updated_ts_est
2026-03-03,Atlanta,high,KATL,63.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Atlanta,low,KATL,49.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Austin,high,KAUS,89.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Austin,low,KAUS,66.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Boston,high,KBOS,33.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Boston,low,KBOS,19.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Chicago,high,KMDW,43.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Chicago,low,KMDW,34.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Dallas,high,KDFW,84.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Dallas,low,KDFW,65.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Denver,high,KDEN,50.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Denver,low,KDEN,33.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Houston,high,KHOU,82.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Houston,low,KHOU,68.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Las Vegas,high,KLAS,73.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Las Vegas,low,KLAS,57.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Los Angeles,high,KLAX,67.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Los Angeles,low,KLAX,55.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Miami,high,KMIA,83.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Miami,low,KMIA,71.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Minneapolis,high,KMSP,51.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Minneapolis,low,KMSP,34.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,New Orleans,high,KMSY,82.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,New Orleans,low,KMSY,59.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,New York City,high,KNYC,36.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,New York City,low,KNYC,29.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Oklahoma City,high,KOKC,81.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Oklahoma City,low,KOKC,50.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Philadelphia,high,KPHL,42.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Philadelphia,low,KPHL,33.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Phoenix,high,KPHX,86.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Phoenix,low,KPHX,61.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,San Antonio,high,KSAT,87.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,San Antonio,low,KSAT,66.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,San Francisco,high,KSFO,61.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,San Francisco,low,KSFO,51.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Seattle,high,KSEA,53.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Seattle,low,KSEA,47.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Washington DC,high,KDCA,43.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-03,Washington DC,low,KDCA,32.0,cli_final,2026-03-04 11:42:07 AM EST
2026-03-04,Atlanta,high,KATL,75.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Atlanta,low,KATL,53.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Austin,high,KAUS,88.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Austin,low,KAUS,71.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Boston,high,KBOS,51.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Boston,low,KBOS,32.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Chicago,high,KMDW,42.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Chicago,low,KMDW,35.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Dallas,high,KDFW,81.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Dallas,low,KDFW,64.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Denver,high,KDEN,62.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Denver,low,KDEN,29.0,cli_final,2026-03-05 08:21:44 AM EST
2026-03-04,Houston,high,KHOU,82.0,cli_final,2026-03-05 08:21:44 AM EST
