ts_est,date,city,temp_type,ticker,bet,line,edge_pct,units,stake_dollars,side,limit_price_cents,count,time_in_force,order_action,status,error,fee_dollars,order_id,client_order_id,execution_mode,attempt_count,passive_attempted,aggressive_attempted,aggressive_used,initial_limit_price_cents,final_order_status_raw
2026-03-08 09:02:19 AM EST,2026-03-08,Philadelphia,high,KXHIGHPHIL-26MAR08-B71.5,BUY NO,71F to 72F,31.0,1.5,1.5,no,69,2,fill_or_kill,buy,submitted,,0.04,5f055814-278e-42e2-a7b6-d2906516d2f5,bot-2026-03-08-e5c0e2247571,aggressive,5,True,True,True,66,executed
2026-03-08 09:17:00 AM EST,2026-03-08,Seattle,high,KXHIGHTSEA-26MAR08-B54.5,BUY NO,54F to 55F,24.0,1.5,1.5,no,75,0,good_till_cancelled,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-08-d3a30796b64f,passive,4,True,False,False,73,
2026-03-08 09:54:00 AM EST,2026-03-08,Seattle,high,KXHIGHTSEA-26MAR08-B54.5,BUY NO,54F to 55F,24.0,1.5,1.5,no,76,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-08-543afc9f416e,passive,3,True,False,False,74,
2026-03-08 11:19:00 AM EST,2026-03-08,Minneapolis,high,KXHIGHTMIN-26MAR08-T61,BUY NO,60F or below,39.86,2.0,2.0,no,30,8,fill_or_kill,buy,submitted,,0.12,8796a214-9e10-448a-a399-09709ea829dd,bot-2026-03-08-527b87bae22c,aggressive,5,True,True,True,24,executed
2026-03-08 11:34:19 AM EST,2026-03-08,Las Vegas,high,KXHIGHTLV-26MAR08-B76.5,BUY NO,76F to 77F,22.0,1.5,1.5,no,78,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-08-56e623c9edc4,passive,3,True,False,False,76,
2026-03-08 12:50:00 PM EST,2026-03-08,Seattle,high,KXHIGHTSEA-26MAR08-B50.5,BUY NO,50F to 51F,24.0,1.5,1.5,no,67,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-08-c0ba66af36ab,passive,4,True,False,False,64,
2026-03-08 01:02:00 PM EST,2026-03-08,New Orleans,high,KXHIGHTNOLA-26MAR08-B76.5,BUY NO,76F to 77F,34.0,1.5,1.5,no,66,2,fill_or_kill,buy,submitted,,0.04,c0697833-879c-44b1-bc74-dc72550a0d4f,bot-2026-03-08-7211c724f34f,aggressive,4,True,True,True,64,executed
2026-03-08 01:10:00 PM EST,2026-03-08,Atlanta,high,KXHIGHTATL-26MAR08-B69.5,BUY NO,69F to 70F,43.44,2.0,2.0,no,34,6,fill_or_kill,buy,submitted,,0.1,fd44eb8f-5159-44f5-9162-18a659f34993,bot-2026-03-08-14facca844ed,aggressive,4,True,True,True,32,executed
2026-03-08 01:33:00 PM EST,2026-03-08,San Francisco,high,KXHIGHTSFO-26MAR08-B68.5,BUY NO,68F to 69F,7.9,0.5,0.5,no,70,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-08-b4e033554981,passive,4,True,False,False,66,
2026-03-08 01:45:00 PM EST,2026-03-08,San Francisco,high,KXHIGHTSFO-26MAR08-B68.5,BUY NO,68F to 69F,10.3,1.0,1.0,no,69,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-08-2654034e5c60,passive,4,True,False,False,66,
