ts_est,date,city,temp_type,ticker,bet,line,edge_pct,units,stake_dollars,side,limit_price_cents,count,time_in_force,status,error,order_id,client_order_id,fee_dollars
2026-03-06 10:31:34 AM EST,2026-03-06,New York City,high,KXHIGHNY-26MAR06-B43.5,BUY NO,43F to 44F,16.93,1.5,1.5,no,54,2,fill_or_kill,submitted,,fb411f09-739a-4b3e-8b8a-eaf52da3b30f,bot-2026-03-06-7baa9845c6f7,0.040000
2026-03-06 11:03:13 AM EST,2026-03-06,San Francisco,high,KXHIGHTSFO-26MAR06-B68.5,BUY NO,68F to 69F,9.87,1.0,1.0,no,63,1,fill_or_kill,submitted,,99576bd8-c471-4db0-a139-d25ff491b1b3,bot-2026-03-06-65f77e4c2531,0.020000
2026-03-06 11:11:14 AM EST,2026-03-06,Atlanta,high,KXHIGHTATL-26MAR06-B83.5,BUY NO,83F to 84F,21.62,2.0,2.0,no,57,3,fill_or_kill,submitted,,20a78fbf-1e8f-4740-af7c-4eb65818385b,bot-2026-03-06-d4c07e8e2d7a,0.060000
2026-03-06 11:11:14 AM EST,2026-03-06,Seattle,high,KXHIGHTSEA-26MAR06-B49.5,BUY NO,49F to 50F,20.15,2.0,2.0,no,43,4,fill_or_kill,submitted,,d4c17d20-f849-4bce-b6bf-30ee69e4ed13,bot-2026-03-06-06abb4db962e,0.070000
2026-03-06 11:27:18 AM EST,2026-03-06,Austin,high,KXHIGHAUS-26MAR06-B85.5,BUY NO,85F to 86F,15.38,1.5,1.5,no,54,2,fill_or_kill,submitted,,4883f26a-0c61-429b-8171-b90dfde07b04,bot-2026-03-06-f2296ef9cce4,0.040000
2026-03-06 11:35:10 AM EST,2026-03-06,Washington DC,high,KXHIGHTDC-26MAR06-B50.5,BUY NO,50F to 51F,18.0,1.5,1.5,no,72,2,fill_or_kill,submitted,,d24f05b5-82a5-42e6-9dd1-6c9b889f4664,bot-2026-03-06-6464182db91b,0.030000
2026-03-06 12:03:12 PM EST,2026-03-06,Philadelphia,high,KXHIGHPHIL-26MAR06-B46.5,BUY NO,46F to 47F,19.21,1.5,1.5,no,49,3,fill_or_kill,submitted,,6c32179a-e702-47e7-9f6e-5a026304316d,bot-2026-03-06-5b9741b8a0f0,0.060000
2026-03-06 02:03:22 PM EST,2026-03-06,Austin,high,KXHIGHAUS-26MAR06-B85.5,BUY YES,85F to 86F,22.46,2.0,2.0,yes,25,8,fill_or_kill,submitted,,1e3aca74-3de4-4ef4-a2cb-338e4ad3d0fb,bot-2026-03-06-2b7e9235a38b,0.110000
2026-03-06 03:10:02 PM EST,2026-03-06,Phoenix,high,KXHIGHTPHX-26MAR06-B72.5,BUY NO,72F to 73F,25.43,2.0,2.0,no,31,6,fill_or_kill,submitted,,4787c816-027f-4ddd-a25b-f913e5e6adf2,bot-2026-03-06-f608260ba796,0.090000
2026-03-06 03:18:18 PM EST,2026-03-06,Austin,high,KXHIGHAUS-26MAR06-B83.5,BUY NO,83F to 84F,23.0,2.0,2.0,no,58,3,fill_or_kill,submitted,,e2ecb2e4-ea59-4b6c-9b70-f443792da123,bot-2026-03-06-0a03051e6d07,0.060000
2026-03-06 04:14:23 PM EST,2026-03-06,Oklahoma City,high,KXHIGHTOKC-26MAR06-B81.5,BUY NO,81F to 82F,11.85,1.0,1.0,no,75,1,fill_or_kill,submitted,,743d6763-8752-49e0-8ef2-ee7f7546ed4b,bot-2026-03-06-fe1549621844,0.020000
2026-03-06 09:10:00 PM EST,2026-03-06,Denver,low,KXLOWTDEN-26MAR06-B26.5,BUY NO,26F to 27F,29.87,2.0,2.0,no,41,4,fill_or_kill,submitted,,464420de-842c-4df5-9de1-5ff739a6ded5,bot-2026-03-06-b1e31b78c511,0.070000
2026-03-06 10:55:00 PM EST,2026-03-06,Denver,low,KXLOWTDEN-26MAR06-B24.5,BUY NO,24F to 25F,11.74,1.0,1.0,no,77,1,fill_or_kill,submitted,,720ec583-bba7-4e2b-8865-2f4ddf59ed18,bot-2026-03-06-189d54a18611,0.020000
2026-03-06 11:50:00 PM EST,2026-03-06,Denver,low,KXLOWTDEN-26MAR06-B28.5,BUY NO,28F to 29F,25.02,2.0,2.0,no,76,2,fill_or_kill,submitted,,ef523b28-007d-4c87-bfc8-138a9c0e20c5,bot-2026-03-06-f2c51160687e,0.030000
2026-03-07 12:05:00 AM EST,2026-03-07,Dallas,high,KXHIGHTDAL-26MAR07-T74,BUY NO,75F or above,28.0,2.0,2.0,no,60,3,fill_or_kill,submitted,,e5c6cef4-27f4-4b95-82df-ef861568df3c,bot-2026-03-07-df12ea36b251,0.060000
2026-03-07 12:05:00 AM EST,2026-03-07,Miami,high,KXHIGHMIA-26MAR07-B84.5,BUY NO,84F to 85F,25.39,2.0,2.0,no,58,3,fill_or_kill,submitted,,10fa1f8e-03e5-41b7-b911-32852cc2f3af,bot-2026-03-07-ec1e087a53c0,0.060000
2026-03-07 12:05:00 AM EST,2026-03-07,Las Vegas,high,KXHIGHTLV-26MAR07-B67.5,BUY NO,67F to 68F,24.02,2.0,2.0,no,51,3,fill_or_kill,submitted,,74ea615b-d34e-4f1c-9eda-58c374b1c454,bot-2026-03-07-b380fecdb1d4,0.060000
2026-03-07 12:10:00 AM EST,2026-03-07,Dallas,high,KXHIGHTDAL-26MAR07-T74,BUY YES,75F or above,44.0,2.0,2.0,yes,46,4,fill_or_kill,submitted,,15f7783e-f3c4-41f1-a24d-dc323e6e0296,bot-2026-03-07-87a21d9ef12a,0.070000
2026-03-07 12:15:00 AM EST,2026-03-07,New York City,low,KXLOWTNYC-26MAR07-B37.5,BUY NO,37F to 38F,34.0,2.0,2.0,no,56,3,fill_or_kill,submitted,,6cbde64c-5b65-4bd4-a1b0-3ebc83c52763,bot-2026-03-07-969bd2c6dc0b,0.060000
2026-03-07 12:20:00 AM EST,2026-03-07,Denver,high,KXHIGHDEN-26MAR07-T48,BUY YES,47F or below,20.81,2.0,2.0,yes,41,4,fill_or_kill,submitted,,35cc3063-e97c-4563-a29f-af8a8634fe3d,bot-2026-03-07-7a9e1e1a95b8,0.070000
2026-03-07 12:45:00 AM EST,2026-03-07,Philadelphia,low,KXLOWTPHIL-26MAR07-B40.5,BUY NO,40F to 41F,61.0,2.0,2.0,no,29,6,fill_or_kill,submitted,,3956dbc2-0144-4730-ba5d-b36cc8d69acf,bot-2026-03-07-941aea2adeeb,0.090000
2026-03-07 01:15:00 AM EST,2026-03-07,Los Angeles,high,KXHIGHLAX-26MAR07-T78,BUY YES,77F or below,19.16,1.5,1.5,yes,33,4,fill_or_kill,submitted,,9aab51b6-1299-45ea-ad56-27dc8e496af2,bot-2026-03-07-5b605fa88dbe,0.070000
2026-03-07 01:20:00 AM EST,2026-03-07,Boston,high,KXHIGHTBOS-26MAR07-B45.5,BUY NO,45F to 46F,11.94,1.0,1.0,no,63,1,fill_or_kill,submitted,,0f5dfbea-bf85-46ef-9143-ea693d3774bc,bot-2026-03-07-576432af6bc7,0.020000
