"ts_est","date","city","temp_side","ticker","bet","line","count","price_cents","stake_dollars","fee_dollars","realized_outcome_f","realized_correct","realized_pnl_dollars"
"2026-03-08 12:00:00 AM EST","2026-03-08","Miami","low","KXLOWTMIA-26MAR08-T72","BUY NO","73F or above","8","49.0","3.92","0.14","73.0","False","-4.06"
"2026-03-08 12:03:00 AM EST","2026-03-08","Miami","high","KXHIGHMIA-26MAR08-B84.5","BUY NO","84F to 85F","4","52.0","2.08","0.07","84.0","False","-2.15"
"2026-03-08 12:14:00 AM EST","2026-03-08","Philadelphia","high","KXHIGHPHIL-26MAR08-B69.5","BUY NO","69F to 70F","4","67.0","2.68","0.07","73.0","True","1.2499999999999996"
"2026-03-08 12:20:00 AM EST","2026-03-08","Boston","high","KXHIGHTBOS-26MAR08-B58.5","BUY NO","58F to 59F","4","78.0","3.12","0.05","59.0","False","-3.17"
"2026-03-08 12:24:00 AM EST","2026-03-08","Philadelphia","low","KXLOWTPHIL-26MAR08-T47","BUY YES","46F or below","10","23.0","2.3000000000000003","0.13","46.0","True","7.57"
"2026-03-08 12:32:00 AM EST","2026-03-08","Atlanta","high","KXHIGHTATL-26MAR08-B73.5","BUY NO","73F to 74F","1","87.0","0.87","0.01","69.0","True","0.11999999999999995"
"2026-03-08 01:02:00 AM EST","2026-03-08","Dallas","high","KXHIGHTDAL-26MAR08-B72.5","BUY NO","72F to 73F","4","68.0","2.72","0.07","74.0","True","1.2099999999999997"
"2026-03-08 01:06:00 AM EST","2026-03-08","San Antonio","high","KXHIGHTSATX-26MAR08-B70.5","BUY NO","70F to 71F","2","81.0","1.62","0.03","63.0","True","0.34999999999999987"
"2026-03-08 01:10:00 AM EST","2026-03-08","New Orleans","high","KXHIGHTNOLA-26MAR08-B80.5","BUY NO","80F to 81F","3","59.0","1.77","0.06","76.0","True","1.1700000000000002"
"2026-03-08 01:20:00 AM EST","2026-03-08","Chicago","high","KXHIGHCHI-26MAR08-B63.5","BUY NO","63F to 64F","2","81.0","1.62","0.03","63.0","False","-1.6500000000000001"
"2026-03-08 01:24:00 AM EST","2026-03-08","New York City","high","KXHIGHNY-26MAR08-B66.5","BUY NO","66F to 67F","4","75.0","3.0","0.06","69.0","True","0.9399999999999997"
"2026-03-08 01:28:00 AM EST","2026-03-08","Austin","high","KXHIGHAUS-26MAR08-B69.5","BUY NO","69F to 70F","4","78.0","3.12","0.05","67.0","True","0.8299999999999996"
"2026-03-08 05:09:00 AM EST","2026-03-08","Denver","high","KXHIGHDEN-26MAR08-T65","BUY NO","66F or above","6","59.0","3.54","0.11","65.0","True","2.3500000000000005"
"2026-03-08 05:09:00 AM EST","2026-03-08","Los Angeles","high","KXHIGHLAX-26MAR08-B86.5","BUY NO","86F to 87F","6","63.0","3.7800000000000002","0.1","88.0","True","2.1199999999999997"
"2026-03-08 05:21:00 AM EST","2026-03-08","Phoenix","high","KXHIGHTPHX-26MAR08-B90.5","BUY NO","90F to 91F","4","71.0","2.84","0.06","89.0","True","1.1000000000000003"
"2026-03-08 05:43:00 AM EST","2026-03-08","Chicago","low","KXLOWTCHI-26MAR08-B34.5","BUY NO","34F to 35F","10","25.0","2.5","0.13","34.0","False","-2.63"
"2026-03-08 05:52:00 AM EST","2026-03-08","Austin","low","KXLOWTAUS-26MAR08-B53.5","BUY NO","53F to 54F","10","23.0","2.3000000000000003","0.13","53.0","False","-2.43"
"2026-03-08 06:02:00 AM EST","2026-03-08","San Francisco","high","KXHIGHTSFO-26MAR08-B72.5","BUY NO","72F to 73F","4","67.0","2.68","0.07","74.0","True","1.2499999999999996"
"2026-03-08 06:17:00 AM EST","2026-03-08","Las Vegas","high","KXHIGHTLV-26MAR08-B74.5","BUY NO","74F to 75F","7","44.0","3.08","0.13","73.0","True","3.790000000000001"
"2026-03-08 06:24:00 AM EST","2026-03-08","San Antonio","high","KXHIGHTSATX-26MAR08-B68.5","BUY NO","68F to 69F","7","56.0","3.9200000000000004","0.13","63.0","True","2.9499999999999997"
"2026-03-08 06:48:00 AM EST","2026-03-08","New York City","low","KXLOWTNYC-26MAR08-B51.5","BUY NO","51F to 52F","10","30.0","3.0","0.15","50.0","True","6.85"
"2026-03-08 06:48:00 AM EST","2026-03-08","Houston","high","KXHIGHTHOU-26MAR08-B75.5","BUY NO","75F to 76F","4","68.0","2.72","0.07","71.0","True","1.2099999999999997"
"2026-03-08 06:54:00 AM EST","2026-03-08","New York City","low","KXLOWTNYC-26MAR08-T45","BUY NO","44F or below","8","46.0","3.68","0.14","50.0","True","4.18"
"2026-03-08 07:24:00 AM EST","2026-03-08","Washington DC","high","KXHIGHTDC-26MAR08-B74.5","BUY NO","74F to 75F","4","65.0","2.6","0.07","76.0","True","1.3299999999999996"
"2026-03-08 07:54:00 AM EST","2026-03-08","New York City","low","KXLOWTNYC-26MAR08-B49.5","BUY NO","49F to 50F","10","23.0","2.3000000000000003","0.13","50.0","False","-2.43"
